nombre,slug,descripcion,fabricante,imagen,badge,badge_color,color_gradient,activo,orden
"Tanques De Salmuera",tanques-de-salmuera,"Tanque de intercambio Iones – disolución de sal. Para realizar el proceso de regeneración de la resina en un sistema suavizador de agua. Fabricados en polietileno de alta densidad en diversas medidas. Válvulas de salmuera con flotador de protección contra derrame, válvula check de aire y colador.",Importado,assets/img/catalogo/tanques-de-salmuera.webp,,,"from-[#1a1a0a] to-[#3a3a1a]",1,68
"Tanques De Fibra De Vidrio",tanques-de-fibra-de-vidrio,"Fabricados con cápsula interior de polietileno grado alimenticio (FDA) reforzados con fibra de vidrio, para una presión máxima de trabajo de 150 psi, medidas desde 7"" hasta 63"" de diámetro. Cuentan con certificación NSF.Los tanques de fibra de vidrio lo utilizan en la industria para almacenar y transportar agua, alimentos, combustible y sustancias químicas.",Importado,assets/img/catalogo/tanques-de-fibra-de-vidrio.webp,,,"from-[#4a3800] to-[#7a5c00]",1,67
"Sulfato De Alumina Tipo A",sulfato-de-alumina-tipo-a,"Sulfato de Alumina Tipo A, Empleando en el tratamiento de aguas residuales. Es un producto efectivo en la eliminación del fósforo en las plantas de tratamiento de agua residual, tanto para el uso de humano e industrial y clarifica el agua al precipitar los sólidos suspendidos. En el tratamiento de agua potable, permite clarificar el agua potable ya que es un coagulante y por ello sedimenta los sólidos en suspensión, los cuales por su tamaño requerirán un tiempo muy largo para sedimentar.",Importado,assets/img/catalogo/sulfato-de-alumina-tipo-a.webp,,,"from-[#0d2137] to-[#1a3a5c]",1,66
"Solucion De Calibracion De Conductividad 1413",solucion-de-calibracion-de-conductividad-1413,"El HI7031L es una solución de conductividad de 1413 µS/cm de alta calidad, estandarizada con un medidor de conductividad que ha sido calibrado con cloruro de potasio NIST 2202 SRM (Material de Referencia Estándar), en agua desionizada para uso analítico. Adicionalmente se utiliza en la preparación de las soluciones balanzas certificadas, accesorios de vidrio clase A y termómetros certificados.",Nacional,assets/img/catalogo/solucion-de-calibracion-de-conductividad-1413.webp,,,"from-[#1A3A2F] to-[#2d6a4f]",1,65
"Solucion Buffer Ph 7 01",solucion-buffer-ph-7-01,"La HI7007L / C es una solución de calibración de pH 7.01 de alta calidad que utiliza sales de alta pureza, agua desionizada, balanzas certificadas con control de peso y cristalería de clase A en un entorno de temperatura controlada medido con termómetros certificados. Los valores informados tienen exactitud de +/- 0.01 pH @ 25 ° C y tiene trazabilidad de materiales de referencia estándar (SRM) de NIST.",Nacional,assets/img/catalogo/solucion-buffer-ph-7-01.webp,,,"from-[#1a2a4a] to-[#2d4a7a]",1,64
"Solucion Buffer Ph 401",solucion-buffer-ph-401,"La HI7004L/C es una solución de calibración de pH 4.01 de calidad premiun, usando sales de alta pureza, agua desionizada, balanzas certificadas y material de vidrio clase A, en un ambiente de temperatura controlada con termómetros certificados. Los valores reportados son precisos a +/- 0.01 pH @ 25°C y son trazables a los Materiales de Estándar de Referencia (SRM) NIST Principio del formulario","Certificado ISO",assets/img/catalogo/solucion-buffer-ph-401.webp,,,"from-[#1A3A2F] to-[#2d6a4f]",1,63
"Solucion Buffer Ph 1001",solucion-buffer-ph-1001,"El HI7010L es una solución de calibración de calidad superior de pH 10.01 producido que utiliza sales de alta pureza, agua desionizada, balanzas certificadas con control de peso y vidrio clase A en un entorno de temperatura controlada supervisado con termómetros certificados. Los valores informados son precisos a +/- 0.01 pH @ 25°C y son trazables con Materiales de Referencia Estándar (SRMs) de NIST.",Nacional,assets/img/catalogo/solucion-buffer-ph-1001.webp,,,"from-[#0d2137] to-[#1a3a5c]",1,62
"Sistema De Osmosis Inversa Industrial",sistema-de-osmosis-inversa-industrial,"El sistema de ósmosis inversa industrial se basa en un proceso físico de separación, utiliza una membrana capaz de rechazar sólidos disueltos del agua. De esta forma, permite obtener un agua pura, libre de todo tipo de contaminante orgánico e inorgánico.Permite remover la mayoría de los sólidos (inorgánicos u orgánicos) disueltos en el agua (hasta el 99%).
Remueve los materiales suspendidos y microorganismos.
Realiza el proceso de purificación en una sola etapa y en forma continua.
Es una tecnología extremadamente simple que no requiere de mucho mantenimiento y puede operarse con personal no especializado.
El proceso se realiza sin cambio de fase, consiguiendo ahorro de energía.
Es modular y necesita poco espacio, lo que le confiere una versatilidad excepcional en cuanto al tamaño de las plantas: desde 1 m3/día, a 1,000,000 m3/día.",Nacional,assets/img/catalogo/sistema-de-osmosis-inversa-industrial.webp,Nuevo,purple,"from-[#1a0a0a] to-[#3a1a0a]",1,61
Saniclean,saniclean,"Producto líquido remover de cemento, grasa, óxidos, sarro, incrustaciones calcáreas, hongos mohos, algas calcinadas y cualquier otro tipo de contaminante acumulado en determinada superficie.",Nacional,assets/img/catalogo/saniclean.webp,,,"from-[#1a2a1a] to-[#2d4a2d]",1,60
"Resinas De Intercambio Ionico",resinas-de-intercambio-ionico,"Contamos con las mejores marcas y calidades de resinas de intercambio iónico, para ablandamiento y desmineralización de agua.Resinas catiónicas
Resinas Aniónicas
Resina Lecho mixto. 

Se comercializa en bolsas de 25 Litros.
Comercializamos las marcas LEWATIT (ALEMANIA) y AMBERLITE (USA).","Certificado ISO",assets/img/catalogo/resinas-de-intercambio-ionico.webp,Destacado,teal,"from-[#1a2a4a] to-[#2d4a7a]",1,59
Redox,redox,"Producto líquido reductor del pH en aguas. Formulado a base de sales ácidas y fosfonatos ácidos, y cumple la función de neutralizar y regular el pH de soluciones acuosas de tendencia alcalina.",Importado,assets/img/catalogo/redox.webp,,,"from-[#0d2137] to-[#1a3a5c]",1,58
"Reactivos Quimicos",reactivos-quimicos,"Contamos con variedades de reactivos para análisis de agua, para determinación de los siguientes parámetros:Dureza total (D-1, D-2, D-3)
Dureza Cálcica (CA-1, CA-2, CA-3)
Alcalinidades (A-1, A-2, A-3)
Sulfitos (S-1, S-2, S-3)
Cloruros (C-1, C-2)
Acidez Titulante (AT-1, AT-2)
Cloro Activo (CL-1, CL-2, CL-3, CL-4)
Dióxido de Cloro (DCL-1, DCL-2, DCL-3, DCL-4)
Peróxido de Hidrógeno (PH-1, PH-2, PH-3, PH-4) 
Fosfatos (Fos-1, Fos-2)
Probador rápido de dureza DT-PRD

Diversos reactivos grado reactivo y Q.P para análisis en laboratorio. ¡Elaboramos reactivos y kits de análisis de acuerdo a sus necesidades!",Importado,assets/img/catalogo/reactivos-quimicos.webp,,,"from-[#1a1a0a] to-[#3a3a1a]",1,57
"Proxitane 15ap",proxitane-15ap,"Ácido Peracético al 15%",Nacional,assets/img/catalogo/proxitane-15ap.webp,,,"from-[#2a1a2a] to-[#4a2a4a]",1,56
Prod1,prod1,"Producto químico de alta calidad para tratamiento de agua e industria. Prod1 ofrece resultados consistentes y confiables en aplicaciones industriales y comerciales.",Nacional,assets/img/catalogo/prod1.webp,,,"from-[#1a1a0a] to-[#3a3a1a]",1,55
"Portamembranas Frp",portamembranas-frp,"Las portamembranas FRP son compatibles con sistemas de ósmosis inversa comerciales e industriales. Dimensiones: 4? de diámetro x 40?de largo. Fabricadas de fibra de vidrio resistente y recubiertas con pintura de poliuretano de alto brillo lo que las hacen resistentes a los rayos UV.Pueden soportar presiones de hasta 300 psi.
Operación a altas presiones y uso continuo.
Carcasa para ósmosis inversa con refacciones estándar.
Su diseño de cuerpo y tapas le ofrece alta confiabilidad en el área de sellado de la tapa.",Nacional,assets/img/catalogo/portamembranas-frp.webp,,,"from-[#4a3800] to-[#7a5c00]",1,54
"Portamembranas Acero Inoxidable",portamembranas-acero-inoxidable,"Las portamembranas en marca Hydronix es una serie de carcasas para membranas en aplicaciones de sistemas de ósmosis inversa (RO) comerciales e industriales. Reconocidos por su alta calidad y durabilidad.Estas piezas están construidas para maximizar el rendimiento de los sistemas de tratamiento y purificación.
Durabilidad y calidad asegurada.
Tapas reforzadas para un sello seguro.
Trabajo a altas presiones y uso continuo.
Carcasa para ósmosis inversa con refacciones estándar.
Su diseño de cuerpo y tapas le ofrece alta confiabilidad en el área de sellado de la tapa.",Nacional,assets/img/catalogo/portamembranas-acero-inoxidable.webp,,,"from-[#1a1a0a] to-[#3a3a1a]",1,53
Portacartuchos,portacartuchos,"Están fabricados de polipropileno reforzado en color azul, blanco y trasparente, aprobado por la FDA. Estos porta cartuchos se pueden utilizar en aplicaciones tales como la pre y post filtración de ósmosis inversa, sistemas de filtración domesticas, restaurantes, máquinas de hielo y muchos más. Contamos porta cartuchos en las marcas PENTEK, HIDROTEK e HYDRONIX en diferentes tamaños.
Tamaños disponibles:
4.5” de diámetro por longitudes de 10” y 20”.
2.5” de diámetro por longitudes de 10” y 20”.
Con purga y sin purga en 3/4”, 1” Y 1.5” NTP.",Importado,assets/img/catalogo/portacartuchos.webp,,,"from-[#1a0a0a] to-[#3a1a0a]",1,52
"Polifloc Fpl",polifloc-fpl,"Producto líquido viscoso, elaborado a base de polímeros orgánicos- Poliacrilatos Aniónicos. Empleado como auxiliar de coagulación - floculación en la clarificación de aguas turbias superficiales.",Importado,assets/img/catalogo/polifloc-fpl.webp,Destacado,green,"from-[#0d2137] to-[#1a3a5c]",1,51
"Plantas Embotelladoras De Agua De Mesa",plantas-embotelladoras-de-agua-de-mesa,"Plantas Embotelladoras de agua de mesa consta de un sistema de equipos y complementos para el envasado de agua; asimismo, incluye accesorios de filtración y purificación que genera agua de la más alta calidad. Ofrecemos plantas de tratamiento de agua para las personas que deseen incursionar en el negocio de la venta de agua embotellada.

Para la implementación de una planta embotelladora de agua de mesa es necesario un sistema completo para el proceso de esterilización y filtración, tubos de silicona anti bacteriales, osmosis inversa y procesos complementarios.

Contamos con accesorios y repuestos para implementar y dar mantenimiento a tus plantas. Como membranas, osmosis inversa, filtros Hydronix, equipos generadores de ozono y más.",Nacional,assets/img/catalogo/plantas-embotelladoras-de-agua-de-mesa.webp,,,"from-[#1a2a1a] to-[#2d4a2d]",1,50
Peroxidial,peroxidial,"Producto líquido de gran acción desinfectante, bactericida, germicida, fungicida y virucida. El producto está formulado a base de Ácido Peracético, Peróxido de Hidrógeno y Ácido Acético.",Importado,assets/img/catalogo/peroxidial.webp,,,"from-[#1A3A2F] to-[#2d6a4f]",1,49
"Pastillas Rojo Fenol",pastillas-rojo-fenol,"Pastillas Rojo Fenol son Tabletas de disolución rápida para determinación de pH en agua.Para uso con los equipos Comparador Visual Marca LaMotte en la determinación de pH.Cumple con los valores obligatorios de 6.8, 7.0, 7.2, 7.6, 8.2 de pH.",Importado,assets/img/catalogo/pastillas-rojo-fenol.webp,Nuevo,purple,"from-[#0a1a0a] to-[#1a3a1a]",1,48
"Pastillas Dpd1",pastillas-dpd1,"Pastillas DPD-1 grado visual para Cloro Libre y Cloro Total. Marca LaMotte 6999A-M. Caja x 1000 pastillas.Rápida disolución.",Nacional,assets/img/catalogo/pastillas-dpd1.webp,Destacado,green,"from-[#1a0a0a] to-[#3a1a0a]",1,47
"Papel Indicador De Ph",papel-indicador-de-ph,"Papel Para Indicador De Ph Rango De 0-14, Caja X 200 Und.","Certificado ISO",assets/img/catalogo/papel-indicador-de-ph.webp,,,"from-[#0a1a0a] to-[#1a3a1a]",1,46
"Osmokal Limpiador Alcalino Removedor De Materia Organica",osmokal-limpiador-alcalino-removedor-de-materia-organica,"Producto líquido alcalino. Se emplea en la limpieza profunda de las membranas de los equipos de Ósmosis Inversa, en un segundo paso. Para una limpieza normal de membranas, emplear una solución al 2 % del producto, preparado con agua osmotizada. ENVASE x 1.00 y 5.00 Galones",Importado,assets/img/catalogo/osmokal-limpiador-alcalino-removedor-de-materia-organica.webp,,,"from-[#0a1a0a] to-[#1a3a1a]",1,45
"Osmo Pluss 0100 Antiincrustante De Uso Continuo",osmo-pluss-0100-antiincrustante-de-uso-continuo,"Es un anti-incrustante, que se utiliza en los sistemas de Ósmosis Inversa, para mantener en suspensión las sales de carbonato de calcio y de magnesio, hidróxidos metálicos y sales de metales pesados que contiene el agua, evitando que estas se depositen sobre la superficie de las membranas, las cuales causarían incrustaciones y como tal reducción en la cantidad y calidad de agua como producto. ENVASE x 1.00 Galon y 23 Kilos",Nacional,assets/img/catalogo/osmo-pluss-0100-antiincrustante-de-uso-continuo.webp,,,"from-[#4a3800] to-[#7a5c00]",1,44
"Membranas De Osmosis",membranas-de-osmosis,"Contamos con membranas de alto rechazo, baja, mediana y alta presión para agua salobre y agua de mar. Membranas de ósmosis de diferentes tamaños y modelos, con envoltura externa de membrana con fibra de vidrio y con TAPE.",Nacional,assets/img/catalogo/membranas-de-osmosis.webp,,,"from-[#1a0a0a] to-[#3a1a0a]",1,43
"Medidor Ph",medidor-ph,"Diseñado para brindar simplicidad a las pruebas de pH durante cualquier proceso, El PHmetro Digital de Bolsillo HI98103 Checker® está diseñado para medición directa. Un electrodo reemplazable extiende la vida útil de su probador.Operación con un solo botón
Electrodo de pH reemplazable
Exactitud del pH de ± 0.2",Importado,assets/img/catalogo/medidor-ph.webp,,,"from-[#0a1a1a] to-[#1a3a3a]",1,42
"Medidor Conductividad",medidor-conductividad,"El medidor de conductividad eléctrica (CE) de bolsillo, Hanna Instruments, HI98304, permite la medición de la CE en alto rango (hasta 20.00 mS/cm).Asimismo, cuenta con compensación de temperatura y calibración, ambas automáticas
.Aplicaciones del medidor de conductividad eléctrica de bolsillo HI98304.
Mediciones de aguas, en tratamiento así como: calderas y torres de enfriamiento.
Adicionalmente, en agricultura e hidroponía y aplicaciones de laboratorio.",Nacional,assets/img/catalogo/medidor-conductividad.webp,,,"from-[#1A3A2F] to-[#2d6a4f]",1,41
"Kits Para Analisis De Agua",kits-para-analisis-de-agua,"Ofrecemos una gran variedad de Kit de análisis de agua, en bajo y alto rango, para determinación de los siguientes parámetros:Alcalinidades
Cloro Libre
Cloro Total
Cloruros
Dióxido de cloro
Dureza Total Sulfitos
Hierro Total
Fosfatos
Nitritos
Sílice
Ozono
pH
Otros

*Disponibles en marca PROQUIM, HANNA, HACH y LAMOTTE",Nacional,assets/img/catalogo/kits-para-analisis-de-agua.webp,,,"from-[#2a1a2a] to-[#4a2a4a]",1,40
"Kit Medidor De Ozono",kit-medidor-de-ozono,"El HI38054 es un kit químico de prueba que determina la concentración de ozono en muestras con un rango de 0.0 a 2.3 mg/L de ozono. El HI38054 se suministra con todos los reactivos y accesorios necesarios para realizar el análisis, incluyendo el disco Checker® para una determinación precisa. El kit de prueba contiene suficientes reactivos para realizar aproximadamente 100 pruebas.",Nacional,assets/img/catalogo/kit-medidor-de-ozono.webp,,,"from-[#1a1a0a] to-[#3a3a1a]",1,39
"Kit De Prueba Para Cloro",kit-de-prueba-para-cloro,"El kit de pruebas para cloro de HANNA HI3815 es rápido, de fácil uso y portátil y, a excepción de la solución del nitrato de mercurio, prácticamente evita heridas accidentales o daños debidos a derramamientos. El pH es reducido a aproximadamente 3 mediante la adición de ácido nítrico. Los iones de mercurio reaccionan con los iones de cloro para formar cloruro de mercurio; cuando hay exceso de iones de mercurio, hace complejo con difenilcarbazona para formar una solución púrpura. El cambio de color de amarillo a púrpura determina el punto final de esta titulación.- Método: Titulación -Rango: 0-100 mg/L (ppm) 0-1000 mg/L (ppm)-Menor Incremento: 1 mg/L (ppm) 10 mg/L (ppm)-# De pruebas: 110 prom.",Importado,assets/img/catalogo/kit-de-prueba-para-cloro.webp,Destacado,teal,"from-[#1A3A2F] to-[#2d6a4f]",1,38
"Kit De Prueba De Dureza",kit-de-prueba-de-dureza,"El nivel de dureza como mg/L (ppm) de carbonato de calcio es determinado por una titulación de EDTA (Ácidoetilendiaminotetraacético). La dureza del agua se debe principalmente a la presencia de iones de calcio y magnesio. Además, otros tipos de iones como el hierro, el zinc y el manganeso también contribuyen a la presencia de la dureza total. Es fundamental controlar la dureza a fin de prevenir las incrustaciones en las tuberías de las instalaciones. Kit para la dureza HANNA HI3812-Método: titulación-Rango 0.0-30.0 mg/L (ppm) 0-300 mg/L (ppm)-Menor Incremento 0.3 mg/L (ppm) 3 mg/L (ppm)-Método químico EDTA-# De pruebas 100 prom.",Nacional,assets/img/catalogo/kit-de-prueba-de-dureza.webp,,,"from-[#2a1a2a] to-[#4a2a4a]",1,37
"Kit De Prueba De Alcalinidad",kit-de-prueba-de-alcalinidad,"La alcalinidad es importante en la determinación de las propiedades corrosivas del agua, causadas por los carbonatos, bicarbonatos y sales disueltas.El HI3811 es un kit de prueba de química basada en la valoración que determina la concentración de la alcalinidad en muestras dentro de un 0 a 100 mg / L (ppm) CaCO 3 o de 0 a 300 mg / L de CaCO 3 rango. El HI3811 se suministra con todos los reactivos y equipos necesarios para realizar el análisis. El kit de prueba contiene suficientes reactivos para realizar aproximadamente 110 pruebas.",Importado,assets/img/catalogo/kit-de-prueba-de-alcalinidad.webp,,,"from-[#1a1a0a] to-[#3a3a1a]",1,36
"Instrumentos De Ensayo",instrumentos-de-ensayo,"Contamos con:BALÓN FONDO REDONDO BORO3.3 
BALON FONDO PLANO BORO3.3 
FIOLA DE VIDRIO
FIOLA DE VIDRIO CON TAPA PLÁSTICO
MATRAZ
PIPETA GRADUADA
PIPETA SEROLÓGICA
PROBETA BASE HEXAGONAL
VASO FORMA BAJA
VASO PRECIPITADO
BURBUJEADOR
FRASCO ESTÉRIL TAPA AZUL",Nacional,assets/img/catalogo/instrumentos-de-ensayo.webp,,,"from-[#1a2a4a] to-[#2d4a7a]",1,35
"Hipoclorito De Sodio",hipoclorito-de-sodio,"Hipoclorito de sodio al 7.5% de concentración.","Certificado ISO",assets/img/catalogo/hipoclorito-de-sodio.webp,,,"from-[#0a1a0a] to-[#1a3a1a]",1,34
"Hipoclorito De Calcio",hipoclorito-de-calcio,"El Hipoclorito de Calcio es un poderoso agente desinfectante, fuerte oxidante, germicida, bactericida y blanqueador de aspecto granulado y color blanco. Ampliamente utilizado en la limpieza de piscinas, plantas de agua, pozos de agua, en plantas de procesamiento de alimentos y bebidas, agricultura, entre otros, por su alto contenido de cloro disponible, facilidad de disolución, menor contenido de insolubles y facilidad de manejo.",Nacional,assets/img/catalogo/hipoclorito-de-calcio.webp,Destacado,purple,"from-[#1a2a4a] to-[#2d4a7a]",1,33
"Hipoclorito De Calcio Granulado",hipoclorito-de-calcio-granulado,"Hipoclorito de calcio al 65-70% de concentración.",Importado,assets/img/catalogo/hipoclorito-de-calcio-granulado.webp,,,"from-[#0d2137] to-[#1a3a5c]",1,32
"Grava De Cuarzo",grava-de-cuarzo,"Para usarse bajo cualquiera de los materiales filtrantes anteriores, como lecho soporte. Asimismo en los filtros de grava y arena de cuarzo, como material de filtración en diferentes granulometrias. Granulometrías: 1/8”, ¼”, ½”, 1”.",Importado,assets/img/catalogo/grava-de-cuarzo.webp,,,"from-[#1a1a0a] to-[#3a3a1a]",1,31
"Generador De Ozono",generador-de-ozono,"El ozono es uno de los gases con mayor poder oxidante. En la industria de agua embotellada se utiliza como un tratamiento de desinfección final para el agua. Tiene la enorme ventaja que permanece en el agua un tiempo lo cual permite que el envase (garrafón) sea esterilizado también asegurando la mejor calidad bacteriológica y una larga vida de anaquel al producto. Después de que actúa, el ozono desaparece completamente reconvirtiéndose en oxígeno.",Importado,assets/img/catalogo/generador-de-ozono.webp,Destacado,teal,"from-[#1a1a0a] to-[#3a3a1a]",1,30
"Filtros Cartuchos Plisados",filtros-cartuchos-plisados,"Los filtros plisados son ideales para evitar el ingreso de suciedad al agua de red del hogar, empresa e industria. Este filtro puede utilizarse como etapa previa de cualquier tecnología de filtrado para obtener agua libre de sedimentación macroscópica. Contamos con filtros plisados en las marcas PENTEK (USA) e HYDRONIX (USA) en diferentes tamaños.Tamaños disponibles:
4.5” de diámetro por longitudes de 10” Y 20”.
2.5” de diámetro por longitudes de 10” hasta 40”.

Los micronajes de los cartuchos de sedimentos comienzan desde 1 micra hasta 50 micras.","Certificado ISO",assets/img/catalogo/filtros-cartuchos-plisados.webp,,,"from-[#1a0a0a] to-[#3a1a0a]",1,29
"Filtros Cartuchos De Sedimento",filtros-cartuchos-de-sedimento,"El filtro de sedimentos para agua actúa como pantalla para remover las partículas transportadas en el agua.Contamos con filtros de sedimentos en las marcas PENTEK (USA) e HYDRONIX (USA) en diferentes tamaños.Tamaños disponibles:
4.5” de diámetro por longitudes de 10” y 20”.
2.5” de diámetro por longitudes de 10” hasta 50”.
Los micronajes de los cartuchos de sedimentos comienzan desde 1 micra hasta 75 micras.","Certificado ISO",assets/img/catalogo/filtros-cartuchos-de-sedimento.webp,Destacado,purple,"from-[#0d2137] to-[#1a3a5c]",1,28
"Filtros Cartuchos De Carbon Activado",filtros-cartuchos-de-carbon-activado,"Los filtros de carbón activo para agua sirven para remover sabor, olor, químicos orgánicos y cloro. Pueden utilizarse por ejemplo en aplicaciones residenciales, servicio alimenticio, comercial e industrial. Son Filtros de alta calidad y son ideales para aplicaciones de ósmosis inversa y de punto de uso (POU).Contamos con filtros de carbón activo en las marcas PENTEK (USA) e HYDRONIX (USA) en diferentes tamaños.Tamaños disponibles:
4.5” de diámetro por longitudes de 10” y 20”.
2.5” de diámetro por longitudes de 10” y 20”.

Los micronajes de los cartuchos de sedimentos comienzan desde 0.5 micra hasta 10 micras.",Importado,assets/img/catalogo/filtros-cartuchos-de-carbon-activado.webp,,,"from-[#4a3800] to-[#7a5c00]",1,27
"Filtro De Multimedia",filtro-de-multimedia,"Los Filtros multimedia están diseñados para poder filtrar sólidos suspendidos en el agua por medio de varias capas de medios filtrantes de más grueso a más fino. Este diseño hace que las partículas más grandes queden atrapadas en las capas superiores y las más pequeñas en las inferiores. Nuestro filtro de multimedia maximiza la capacidad de atrapar partículas que pueden ser arenilla, óxidos, orgánicos y sedimentos en general desde 10-15 micrones a más. Medios filtrantes (antracita, garnet, grava y arena).",Nacional,assets/img/catalogo/filtro-de-multimedia.webp,Nuevo,teal,"from-[#1a1a0a] to-[#3a3a1a]",1,26
"Filtro De Carbon Activado",filtro-de-carbon-activado,"Nuestros filtros multimedia permiten remover cloro residual y materia orgánica causantes de desagradables sabores, olores y colores del agua. Están compuestos por varias capas de medios filtrantes de diferentes densidades y tamaño de partículas, acomodados uno sobre el otro.Los Filtros de carbón activado son equipos que contienen carbón activado granular, como medio de filtración para remover componentes naturales y/o industriales del agua.",Nacional,assets/img/catalogo/filtro-de-carbon-activado.webp,,,"from-[#1a2a4a] to-[#2d4a7a]",1,25
