"idproducto","idestado","idpdestacado","nombre","urlamigable","contenido","urlimagen","orden","fecha"
"16","135","39","Filtros Cartuchos De Sedimento","filtros-cartuchos-de-sedimento","El  filtro de sedimentos para agua actúa como pantalla para remover las partículas transportadas en el agua.Contamos con filtros de sedimentos en las marcas PENTEK (USA) e HYDRONIX (USA) en diferentes tamaños.<div>Tamaños disponibles:</div><div><ul><li>4.5” de diámetro por longitudes de 10” y 20”<span style=""background-color: transparent; font-size: 0.875rem;"">.</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">2.5” de diámetro por longitudes de 10” hasta 50”.</span></li></ul><span style=""background-color: transparent; font-size: 0.875rem;"">Los micronajes de los cartuchos de sedimentos comienzan desde 1 micra hasta 75 micras.</span><br></div>","16-filtros-cartuchos-de-sedimento.png","16","2022-07-23 11:19:18"
"17","135","39","Filtros Cartuchos Plisados","filtros-cartuchos-plisados","Los filtros plisados son ideales para evitar el ingreso de suciedad al agua de red del hogar, empresa e industria. Este filtro puede utilizarse como etapa previa de cualquier tecnología de filtrado para obtener agua libre de sedimentación macroscópica. Contamos con filtros plisados en las marcas PENTEK (USA) e HYDRONIX (USA) en diferentes tamaños.<div>Tamaños disponibles:</div><div><ul><li>4.5” de diámetro por longitudes de 10” Y  20”.</li><li>2.5” de diámetro por longitudes de 10” hasta 40”.</li></ul></div><div>Los micronajes de los cartuchos de sedimentos comienzan desde 1 micra hasta 50 micras.</div>","17-filtros-cartuchos-plisados.jpg","17","2022-07-23 11:19:18"
"18","135","39","Filtros Cartuchos De Carbón Activado","filtros-cartuchos-de-carbon-activado","Los filtros de carbón activo para agua sirven para remover sabor, olor, químicos orgánicos y cloro. Pueden utilizarse por ejemplo en aplicaciones residenciales, servicio alimenticio, comercial e industrial. Son Filtros de alta calidad y son ideales para aplicaciones de ósmosis inversa y de punto de uso (POU).Contamos con filtros de carbón activo en las marcas PENTEK (USA) e HYDRONIX (USA) en diferentes tamaños.<div>Tamaños disponibles:</div><div><ul><li>4.5” de diámetro por longitudes de 10” y  20”.</li><li>2.5” de diámetro por longitudes de 10” y 20”.</li></ul></div><div>Los micronajes de los cartuchos de sedimentos comienzan desde 0.5 micra hasta 10 micras.</div>","18-filtros-cartuchos-de-carbon-activado.jpg","18","2022-07-23 11:19:18"
"19","135","39","PORTACARTUCHOS","portacartuchos","Están fabricados de polipropileno reforzado en color azul, blanco y trasparente, aprobado por la FDA. Estos porta cartuchos se pueden utilizar en aplicaciones tales como la pre y post filtración de ósmosis inversa, sistemas de filtración domesticas, restaurantes, máquinas de hielo y muchos más.&nbsp;<div>Contamos porta cartuchos en las marcas PENTEK, HIDROTEK e HYDRONIX en diferentes tamaños.</div><div>Tamaños disponibles:</div><div><ul><li>4.5” de diámetro por longitudes de 10” y  20”.</li><li>2.5” de diámetro por longitudes de 10” y 20”.</li><li>Con purga y sin purga en 3/4”, 1” Y 1.5” NTP.</li></ul></div>","19-portacartuchos.jpg","19","2022-07-23 11:19:18"
"20","135","39","BASE Y SOPORTE PARA PORTA FILTROS","base-y-soporte-para-porta-filtros","Las ménsulas, base o soportes para filtros son utilizadas para fijar a la pared o a alguna superficie para los porta cartuchos de tratamiento de agua. Compatibles con amplia variedad de porta filtros o carcasas. Se utilizan en porta cartuchos para cartucho estándar de 2.5? o Big Blue de 4.5? (BB). Disponible en marcas PENTEK, HIDROTEK e HYDRONIX.","20-base-y-soporte-para-porta-filtros.jpg","20","2022-07-23 11:19:18"
"21","135","39","Generador De Ozono","generador-de-ozono","El ozono es uno de los gases con mayor poder oxidante. En la industria de agua embotellada se utiliza como un tratamiento de desinfección final para el agua. Tiene la enorme ventaja que permanece en el agua un tiempo lo cual permite que el envase (garrafón) sea esterilizado también asegurando la mejor calidad bacteriológica y una larga vida de anaquel al producto. Después de que actúa, el ozono desaparece completamente reconvirtiéndose en oxígeno.","21-generador-de-ozono.png","21","2022-07-23 11:19:18"
"22","135","39","Bomba De Agua Multietapa Vertical Cnp","bomba-de-agua-multietapa-vertical-cnp","La bomba de agua multietapa vertical CDM/CDMF son de nueva generación. Con alta eficiencia, multietapa vertical no autocebante bombas centrífugas. Además, tiene un diseño industrial completamente nuevo. Por ello, la bomba trabaja con ahorro de energía, bajo ruido, respetuoso con el medio ambiente, diseño compacto, hermosa forma, ligero, fácil de mantener, alta fiabilidad. Es adecuado para líquidos no corrosivos.","22-bomba-de-agua-multietapa-vertical-cnp.jpg","22","2022-07-23 11:19:18"
"23","135","39","Bomba De Refuerzo Para Ósmosis – Goulds","bomba-de-refuerzo-para-smosis-goulds","Esta es una bomba portátil horizontal de múltiples etapas diseñada con cabezal de descarga y succión de acero inoxidable por lo que es ideal para aplicaciones de HVAC, comercio general, ósmosis inversa y filtración. El diseño de varias etapas proporciona un funcionamiento estable, silencioso y sin vibraciones. De acero inoxidable para aplicaciones de filtración. Sellado confiable de junta tórica de alta presión con fácil desmontaje para mantenimiento o reparación","23-bomba-de-refuerzo-para-smosis-goulds.jpg","23","2022-07-23 11:19:18"
"24","135","39","Bomba Para Ósmosis 100 200 Gpd","bomba-para-smosis-100-200-gpd","La bomba de Refuerzo BP – 01 100/200 GPD HIDROTEK está diseñado para un sistema de almacenamiento hidroneumático, sistema de osmosis inversa, entre otras aplicaciones con el propósito de aumento de presión de agua. Esta bomba de agua proporciona una entrada fiable para que la membrana trabaje de forma eficiente. Es capaz de trabajar continuamente y eficaz para el aumento de presión y la transferencia de líquidos.","24-bomba-para-smosis-100-200-gpd.jpg","24","2022-07-23 11:19:18"
"25","135","39","TANQUES DE FIBRA DE VIDRIO","tanques-de-fibra-de-vidrio","Fabricados con cápsula interior de polietileno grado alimenticio (FDA) reforzados con fibra de vidrio, para una presión máxima de trabajo de 150 psi, medidas desde 7"" hasta 63"" de diámetro. Cuentan con certificación NSF.Los  tanques de fibra de vidrio lo utilizan en la industria para almacenar y transportar agua, alimentos, combustible y sustancias químicas.","25-tanques-de-fibra-de-vidrio.jpg","25","2022-07-23 11:19:18"
"26","135","39","TANQUES DE SALMUERA","tanques-de-salmuera","Tanque de intercambio Iones – disolución de sal. Para realizar el proceso de regeneración de la resina en un sistema suavizador de agua. Fabricados en polietileno de alta densidad en diversas medidas. Válvulas de salmuera con flotador de protección contra derrame, válvula check de aire y colador.","26-tanques-de-salmuera.jpg","26","2022-07-23 11:19:18"
"27","135","39","TOBERAS O DISTRIBUIDORES","toberas-o-distribuidores","Las toberas o distribuidores son utilizados para evitar que la resina, el carbón activado o cualquier otro medio granular que colocamos dentro del tanque se salga con el flujo. La bayoneta o tubo se enrosca o se pega al distribuidor para que llegue de la base del tanque hasta la válvula. Se utilizan toberas en la separación sólido/líquido o sólido/gas.","27-toberas-o-distribuidores.jpg","27","2022-07-23 11:19:18"
"28","135","39","CONECTORES RÁPIDOS","conectores-rpidos","Los conectores rápidos le ofrecen un producto de ingeniería de calidad diseñado para brindarle un conector confiable para una conexión confiable. Además, los accesorios de conexión rápida han sido probados por NSF International según la norma 61 de NSF / ANSI y cumplen con los requisitos de la FDA para todos los materiales en contacto con alimentos y agua potable.","28-conectores-rpidos.jpg","28","2022-07-23 11:19:18"
"29","135","39","VÁLVULAS MANUALES PARA ABLANDADOR","vlvulas-manuales-para-ablandador","Las válvulas manuales para ablandador Runxin son de alta calidad, siendo más económicos, convenientes, en comparación con otras válvulas de otras marcas. La carcasa de la válvula está hecha de plástico reforzado ABS con 10% de fibra de vidrio, esto brinda a la carcasa con grandes propiedades. Entre sus principales beneficios se incluye la resistencia al calor, resistencia a alto impacto y de ser retardante a la flama.FUNCIONES:Lavado posterior, servicio, salmuera y velocidad más lenta, rellenado de salmuera, y un enjuague rápido.","29-vlvulas-manuales-para-ablandador.jpg","29","2022-07-23 11:19:18"
"30","135","39","VÁLVULAS MANUALES PARA FILTRO","vlvulas-manuales-para-filtro","Las válvulas manuales para filtros son de alta calidad, siendo una válvula de filtro de lavado posterior. Su principal característica o ventaja que es que puede convertirse en un sustituto de las válvulas automáticas para filtros. Para la producción del núcleo se fabrica con cerámico de óxido de aluminio ya que presenta mayor durabilidad y resistencia, en comparación con el metal.Estas válvulas manuales para filtros se utiliza para distintos tipos de aplicaciones y rubros,  como la filtración en las piscinas, pre tratamiento de ósmosis inversa, y tratamiento de agua residual.","30-vlvulas-manuales-para-filtro.jpg","30","2022-07-23 11:19:18"
"31","135","39","VÁLVULAS AUTOMÁTICAS PARA FILTRO","vlvulas-automticas-para-filtro","Estas válvulas para filtros cuentan con motores eléctricos los cuales controlan las funciones de regeneración y lavado posterior en los filtros de media. Esta multiválvula puede realizar de manera automática el servicio, lavado posterior y válvula de rápido enjuague.Las aplicaciones que se le dan a este tipo de equipos son distintas de acuerdo a los requerimientos del cliente; sin embargo, se pueden utilizar en sistemas de filtración residencial, filtración de piscinas y sistemas de filtración de pre tratamiento de RO (ósmosis inversa).","31-vlvulas-automticas-para-filtro.jpg","31","2022-07-23 11:19:18"
"32","135","39","VÁLVULAS AUTOMÁTICAS PARA ABLANDADOR","vlvulas-automticas-para-ablandador","La válvula automática para ablandador tiene distintas funciones entre las cuales incluye el servicio, lavado posterior, salmuera y enjuague lento, enjuague rápido y rellenado de salmuera. La ventaja radica en que puede modificar los parámetros como el volumen de la resina, dureza del agua original, factor de regeneración.","32-vlvulas-automticas-para-ablandador.jpg","32","2022-07-23 11:19:18"
"33","135","39","COMPARADOR DE CLORO","comparador-de-cloro","Kit para determinar Cloro Libre y pH en Agua Potable o Piscinas.Cumple con los valores de 0-10 ppm para Cloro Libre y 6,8 a 8,2 para el pH.Incluye reactivos en tabletas para 30 pruebas de cada variable y comparador de Cloro residual y pH. Marca LaMotte.","33-comparador-de-cloro.jpg","33","2022-07-23 11:19:18"
"34","135","39","PASTILLAS DPD1","pastillas-dpd1","Pastillas DPD-1 grado visual para Cloro Libre y Cloro Total. Marca LaMotte 6999A-M. Caja x 1000 pastillas.Rápida disolución.","34-pastillas-dpd1-.jpg","34","2022-07-23 11:19:18"
"35","135","39","PASTILLAS ROJO FENOL","pastillas-rojo-fenol","Pastillas Rojo Fenol  son Tabletas de disolución rápida para determinación de pH en agua.Para uso con los equipos Comparador Visual Marca LaMotte en la determinación de pH.Cumple con los valores obligatorios de  6.8, 7.0, 7.2, 7.6, 8.2 de pH.","35-pastillas-rojo-fenol.jpg","35","2022-07-23 11:19:18"
"36","135","39","TIRAS REACTIVAS PARA CLORO","tiras-reactivas-para-cloro","Tiras para medir cloro en agua por colorimetría.<div><ul><li>Método:&nbsp;<span style=""background-color: transparent; font-size: 0.875rem;"">Tiras</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">Rango:  10 ppm, 50 ppm, 100 ppm, 200 ppm</span></li><li>Número de tiras: 200</li><li>Contenido: Tiras con reactivo impregnado</li></ul></div>","36-tiras-reactivas-para-cloro.jpg","36","2022-07-23 11:19:18"
"37","135","39","TIRAS REACTIVAS – ÁCIDO PERACÉTICO","tiras-reactivas-cido-peractico","Tiras reactivas tratadas químicamente para la determinación Ácido Peracético en agua, una manera rápida de analizar el contenido de Ácido Peracético en agua indicando el nivel de desinfectante, sin tener que usar reactivos o kits de campo. Presentación en un tubo de plástico resistente al agua con escala de colores impresa.Áreas de aplicación: Sanitizantes, Alimentos, Bebidas.Rango de Medición y sensibilidad: 0, 10, 20, 50, 85, 160 ppm","37-tiras-reactivas-cido-peractico.jpg","37","2022-07-23 11:19:18"
"38","135","39","PAPEL INDICADOR DE Ph","papel-indicador-de-ph","Papel Para Indicador De Ph Rango De 0-14, Caja X 200 Und.","38-papel-indicador-de-ph.jpg","38","2022-07-23 11:19:18"
"39","135","39","KITS PARA ANALISIS DE AGUA","kits-para-analisis-de-agua","Ofrecemos una gran variedad de Kit de análisis de agua, en bajo y alto rango, para determinación de los siguientes parámetros:<div><ul><li>Alcalinidades</li><li>Cloro Libre</li><li>Cloro Total</li><li>Cloruros</li><li>Dióxido de cloro</li><li>Dureza Total Sulfitos</li><li>Hierro Total</li><li>Fosfatos</li><li>Nitritos</li><li>Sílice</li><li>Ozono</li><li>pH</li><li>Otros</li></ul></div><div>*Disponibles en marca PROQUIM, HANNA, HACH y LAMOTTE</div>","39-kits-para-analisis-de-agua.jpg","39","2022-07-23 11:19:18"
"40","135","39","REACTIVOS QUÍMICOS","reactivos-qumicos","Contamos con variedades de reactivos para análisis de agua, para determinación de los siguientes parámetros:<div><ul><li><span style=""background-color: transparent; font-size: 0.875rem;"">Dureza total (D-1, D-2, D-3)</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">Dureza Cálcica (CA-1, CA-2, CA-3)</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">Alcalinidades (A-1, A-2, A-3)</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">Sulfitos (S-1, S-2, S-3)</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">Cloruros (C-1, C-2)</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">Acidez Titulante (AT-1, AT-2)</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">Cloro Activo (CL-1, CL-2, CL-3, CL-4</span><span style=""background-color: transparent; font-size: 0.875rem;"">)</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">Dióxido de Cloro (DCL-1, DCL-2, DCL-3, DCL-4)</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">Peróxido de Hidrógeno (PH-1, PH-2, PH-3, PH-4)&nbsp;</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">Fosfatos (Fos-1, Fos-2)</span></li><li><span style=""background-color: transparent; font-size: 0.875rem;"">Probador rápido de dureza DT-PRD<br></span></li></ul></div><div><span style=""background-color: transparent; font-size: 0.875rem;"">Diversos reactivos  grado reactivo y Q.P para análisis en laboratorio. ¡Elaboramos reactivos y kits de análisis de acuerdo a sus necesidades!</span></div>","40-reactivos-qumicos.jpg","40","2022-07-23 11:19:18"
"41","135","39","KIT MEDIDOR DE OZONO","kit-medidor-de-ozono","El HI38054 es un kit químico de prueba que determina la concentración de ozono en muestras con un rango de 0.0 a 2.3 mg/L de ozono. El HI38054 se suministra con todos los reactivos y accesorios necesarios para realizar el análisis, incluyendo el disco Checker® para una determinación precisa. El kit de prueba contiene suficientes reactivos para realizar aproximadamente 100 pruebas.","41-kit-medidor-de-ozono.jpg","41","2022-07-23 11:19:18"
"42","135","39","KIT DE PRUEBA PARA CLORO","kit-de-prueba-para-cloro","El kit de pruebas para cloro de HANNA HI3815 es rápido, de fácil uso y portátil y, a excepción de la solución del nitrato de mercurio, prácticamente evita heridas accidentales o daños debidos a derramamientos. El pH es reducido a aproximadamente 3 mediante la adición de ácido nítrico. Los iones de mercurio reaccionan con los iones de cloro para formar cloruro de mercurio; cuando hay exceso de iones de mercurio, hace complejo con difenilcarbazona para formar una solución púrpura. El cambio de color de amarillo a púrpura determina el punto final de esta titulación.- Método: Titulación -Rango: 0-100 mg/L (ppm)  0-1000 mg/L (ppm)-Menor Incremento: 1 mg/L (ppm)  10 mg/L (ppm)-# De pruebas: 110 prom.","42-kit-de-prueba-para-cloro-.jpg","42","2022-07-23 11:19:18"
"43","135","39","KIT DE PRUEBA DE DUREZA","kit-de-prueba-de-dureza","El nivel de dureza como mg/L (ppm) de carbonato de calcio es determinado por una titulación de EDTA (Ácidoetilendiaminotetraacético). La dureza del agua se debe principalmente a la presencia de iones de calcio y magnesio. Además, otros tipos de iones como el hierro, el zinc y el manganeso también contribuyen a la presencia de la dureza total. Es fundamental controlar la dureza a fin de prevenir las incrustaciones en las tuberías de las instalaciones. Kit para la dureza HANNA HI3812-Método: titulación-Rango 0.0-30.0 mg/L (ppm)  0-300 mg/L (ppm)-Menor Incremento 0.3 mg/L (ppm)  3 mg/L (ppm)-Método químico EDTA-# De pruebas 100 prom.","43-kit-de-prueba-de-dureza.jpg","43","2022-07-23 11:19:18"
"44","135","39","KIT DE PRUEBA DE ALCALINIDAD","kit-de-prueba-de-alcalinidad","La alcalinidad es importante en la determinación de las propiedades corrosivas del agua, causadas por los carbonatos, bicarbonatos y sales disueltas.El HI3811 es un kit de prueba de química basada en la valoración que determina la concentración de la alcalinidad en muestras dentro de un 0 a 100 mg / L (ppm) CaCO 3 o de 0 a 300 mg / L de CaCO 3 rango. El HI3811 se suministra con todos los reactivos y equipos necesarios para realizar el análisis. El kit de prueba contiene suficientes reactivos para realizar aproximadamente 110 pruebas.","44-kit-de-prueba-de-alcalinidad.jpg","44","2022-07-23 11:19:18"
"45","135","39","TEST DE CLORO LIBRE DPD","test-de-cloro-libre-dpd","Para la determinación de cloro libre por el método DPD. Para usar con los kits de prueba visual de cloro.Tamaño de la muestra: 5 mL. Rango: hasta 3.5 mg/L Cl?. Pack de 100 almohadas en polvo. ¡Libre de ácido bórico!","45-test-de-cloro-libre-dpd.jpg","45","2022-07-23 11:19:18"
"46","135","39","TEST DE CLORO TOTAL DPD","test-de-cloro-total-dpd","Para la determinación del cloro total por el método DPD. Para usar con los kits de prueba visual de cloro. Tamaño de la muestra: 5 mL. Rango: hasta 3.5 mg/L Cl?. Pack de 100 almohadas en polvo.¡Libre de ácido bórico!","46-test-de-cloro-total-dpd.jpg","46","2022-07-23 11:19:18"
"47","135","39","MEDIDOR PH","medidor-ph","Diseñado para brindar simplicidad a las pruebas de pH durante cualquier proceso, El PHmetro Digital de Bolsillo HI98103 Checker® está diseñado para medición directa. Un electrodo reemplazable extiende la vida útil de su probador.<div><ul><li>Operación con un solo botón</li><li>Electrodo de pH reemplazable</li><li>Exactitud del pH de ± 0.2</li></ul></div>","47-medidor-ph.jpg","47","2022-07-23 11:19:18"
"48","135","39","MEDIDOR CONDUCTIVIDAD","medidor-conductividad","El medidor de conductividad eléctrica (CE) de bolsillo, Hanna Instruments, HI98304, permite la medición de la CE en alto rango (hasta 20.00 mS/cm).<div>Asimismo, cuenta con compensación de temperatura y calibración, ambas automáticas</div><div>.Aplicaciones del medidor de conductividad eléctrica de bolsillo HI98304.</div><div>Mediciones de aguas, en tratamiento así como: calderas y torres de enfriamiento.</div><div>Adicionalmente, en agricultura e hidroponía y aplicaciones de laboratorio.</div>","48-medidor-conductividad.jpg","48","2022-07-23 11:19:18"
"49","135","39","SOLUCIÓN BUFFER Ph 7.01","solucin-buffer-ph-701","La HI7007L / C es una solución de calibración de pH 7.01 de alta calidad que utiliza sales de alta pureza, agua desionizada, balanzas certificadas con control de peso y cristalería de clase A en un entorno de temperatura controlada medido con termómetros certificados. Los valores informados tienen exactitud de +/- 0.01 pH @ 25 ° C y tiene trazabilidad de materiales de referencia estándar (SRM) de NIST.","49-solucin-buffer-ph-701.jpg","49","2022-07-23 11:19:18"
"50","135","39","SOLUCIÓN BUFFER Ph 10.01","solucin-buffer-ph-1001","El HI7010L es una solución de calibración de calidad superior de pH 10.01 producido que utiliza sales de alta pureza, agua desionizada, balanzas certificadas con control de peso y vidrio clase A en un entorno de temperatura controlada supervisado con termómetros certificados. Los valores informados son precisos a +/- 0.01 pH @ 25°C y son trazables con Materiales de Referencia Estándar (SRMs) de NIST.","50-solucin-buffer-ph-1001.jpg","50","2022-07-23 11:19:18"
"51","135","39","SOLUCIÓN BUFFER Ph 4.01","solucin-buffer-ph-401","La HI7004L/C es una solución de calibración de pH 4.01 de calidad premiun, usando sales de alta pureza, agua desionizada, balanzas certificadas y material de vidrio clase A, en un ambiente de temperatura controlada con termómetros certificados. Los valores reportados son precisos a +/- 0.01 pH @ 25°C  y son trazables a los  Materiales de Estándar de Referencia (SRM) NIST Principio del formulario","51-solucin-buffer-ph-401.jpg","51","2022-07-23 11:19:18"
"52","135","39","Solución De Calibración De Conductividad 1413","solucion-de-calibracion-de-conductividad-1413","El HI7031L es una solución de conductividad de 1413 µS/cm de alta calidad, estandarizada con un medidor de conductividad que ha sido calibrado con cloruro de potasio NIST 2202 SRM (Material de Referencia Estándar), en agua desionizada para uso analítico. Adicionalmente se utiliza en la preparación de las soluciones balanzas certificadas, accesorios de vidrio clase A y termómetros certificados.","52-solucion-de-calibracion-de-conductividad-1413.jpg","52","2022-07-23 11:19:18"
